,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
0,0.011074364185333252,0.0010384330090852992,0.003532588481903076,0.00021782276656471562,{},-1.0688930717156367e+22,-1.0653924146111652e+19,-1.0167230857146247e+21,-7.564894368821639e+21,-4.820300523959686e+21,4.4601994759645833e+21,1,-13.593722788117041,-13.808177189585283,-13.73284041246385,-4.3719305438204294,-11.37666773349665,4.044918544909491
0,0.00618356466293335,0.0002228089788092148,0.0024548768997192383,0.0001889164867334435,{},-1.6250914347392535e+23,-5.991838290416222e+23,-5.883309309457501e+19,-3.568239369102256e+23,-2.796439356297169e+23,2.2357934004126212e+23,1,-4.424113866342398,-14.517385453688403,-14.51543517514273,-14.18658454590606,-11.910879760269896,4.324583120394665
0,0.00573199987411499,0.00010861325453719838,0.003358304500579834,0.0009100972665131528,{},-8.381813901264529e+24,-4.463231986216268e+22,-4.131570591940258e+23,-3.0506507493665097e+22,-2.2175274469535957e+24,3.5622574938512927e+24,1,-5.249426153955056,-4.25109665238131,-4.67662688641827,-5.025375531484015,-4.800631306059663,0.3772572776113892
0,0.005512237548828125,0.00011992964060673108,0.002232849597930908,0.00011195731000832455,{},-4.116649507957029e+23,-5.3794523582749383e+23,-4.972911225767154e+23,-2.7449860611266807e+22,-3.6858779245279474e+23,2.0216158198543578e+23,1,-5.090738887380601,-4.789781001089243,-5.3682597440872195,-5.40809683108469,-5.164219115910439,0.24835064109089638
0,0.0059656500816345215,0.0010777038979339457,0.0021813511848449707,0.00014317044360152636,{},-9.040113367429455e+23,-5.8526368103316655e+23,-1.431531463141528e+24,-37.13101082175927,-7.3020162022941e+23,5.1871831915736335e+23,1,-14.16040167487981,-13.81948671495643,-14.039451539663462,-4.798097055011521,-11.704359246127805,3.9892048735617522
0,0.005447864532470703,0.0001670532649206635,0.00205308198928833,5.796155603452241e-05,{},-1.918511844028799e+23,-2.833528901522179e+25,-8.780322521026053e+22,-3.599954438965089e+22,-7.162735742306145e+24,1.2224108173709639e+25,1,-14.096375901789738,-13.410648103365386,-14.648602538461542,-4.750503726388489,-11.726532567501287,4.05141561291962
0,0.005379974842071533,9.831773056762749e-05,0.001956164836883545,6.653168063600241e-05,{},-9.601680082228556e+22,-2.0457988614581477e+24,-1.0825009401659495e+23,-3.996550786623082e+21,-5.6351557677091276e+23,8.56744863101404e+23,1,-4.901340819711539,-5.419796975348841,-5.2204441002103374,-4.509690605658138,-5.012818125232213,0.34434895837172946
0,0.005226194858551025,9.582089484884312e-05,0.0018982887268066406,6.651686081107017e-05,{},-4.205459190313414e+22,-1.328119190062567e+22,-1.7565938225773133e+26,-1.1168942527336514e+23,-4.395660186670211e+25,7.6038644129158454e+25,1,-14.828511080028827,-4.395268700460581,-14.26919105198317,-13.829204261841314,-11.830543773578473,4.307341630265911
0,0.00523608922958374,9.790187646921739e-05,0.0019562244415283203,6.0088813803644805e-05,{},-3.2857981195016657e+22,-1.0454012283419426e+22,-2.393436269901927e+23,-1.7507995823819755e+20,-7.0707675106716745e+22,9.807654467157042e+22,1,-14.757163733048662,-14.178972510338415,-13.578185339913588,-4.721215613784438,-11.808884299271275,4.113245170042835
0,0.005073368549346924,7.008317579802905e-05,0.001923978328704834,6.045577211767161e-05,{},-3.2857981195016657e+22,-1.0454012283419426e+22,-2.393436269901927e+23,-1.7507995823819755e+20,-7.0707675106716745e+22,9.807654467157042e+22,1,-14.757163733048662,-14.178972510338415,-13.578185339913588,-4.721215613784438,-11.808884299271275,4.113245170042835
